Filepath,L,OdeMethod,GA_Time_Seconds,c_att,c_opp,c_clause,gamma
bench/test/uf3-13.cnf,3,DP8Adaptive,0.328648,1.09123,2.16186,1.54264,1.18467
bench/test/uf3-03.cnf,3,DP8Adaptive,0.377645,0.53213,3.10945,2.47466,1.50248
bench/test/uf3-04.cnf,3,DP8Adaptive,0.370996,1.09734,2.80197,3.37798,1.94916
bench/test/uf3-01.cnf,3,RK4,0.227925,0.983029,2.45238,2.08167,1.06371
bench/test/uf3-01.cnf,3,Leapfrog,0.125067,0.625489,0.923033,3.03,1.26573
bench/test/uf3-12.cnf,3,DP8Adaptive,0.434869,0.661914,0.668153,2.64114,2.01945
bench/test/uf3-19.cnf,3,DP8Adaptive,0.461168,0.939299,2.43468,1.11294,1.57735
bench/test/uf3-01.cnf,3,DP8,0.43785,0.96793,1.01582,2.17535,1.56067
bench/test/uf5-10.cnf,5,Leapfrog,0.169879,0.966529,2.7832,1.98315,2.1279
bench/test/uf5-05.cnf,5,RK4,0.0235111,0.861749,1.82139,1.86271,1.2764
bench/test/uf5-05.cnf,5,Leapfrog,0.0158149,1.0208,3.25382,2.72489,1.40077
bench/test/uf5-05.cnf,5,DP8,0.0663399,0.790874,2.46014,0.518723,1.40841
bench/test/uf5-10.cnf,5,RK4,0.35295,0.591789,2.86086,0.465532,1.53924
bench/test/uf5-09.cnf,5,RK4,0.366571,0.726436,2.23635,2.78828,1.19156
bench/test/uf5-10.cnf,5,DP8,0.949667,0.697033,2.3144,1.28767,1.0642
bench/test/uf5-05.cnf,5,DP8Adaptive,0.823664,0.705592,2.37619,2.4576,1.1148
bench/test/uf5-09.cnf,5,Leapfrog,0.416732,0.209357,1.58628,1.57765,1.09371
bench/test/uf5-12.cnf,5,RK4,0.0276057,0.595133,0.926927,2.09624,2.5526
bench/test/uf5-12.cnf,5,Leapfrog,0.0380359,0.3215,2.00403,2.36266,1.89172
bench/test/uf5-12.cnf,5,DP8,0.124256,0.672164,1.38425,1.24093,1.9201
bench/test/uf3-14.cnf,3,DP8,3.32124,0.818996,1.39405,1.44673,2.34367
bench/test/uf5-09.cnf,5,DP8,1.0235,0.793645,1.90392,2.36341,2.18151
bench/test/uf3-15.cnf,3,DP8,3.64052,0.877353,3.13976,0.478518,0.894302
bench/test/uf5-11.cnf,5,Leapfrog,0.454415,0.653132,2.33295,2.59423,1.80791
bench/test/uf5-11.cnf,5,RK4,0.675505,0.791644,1.42812,2.12757,2.07866
bench/test/uf5-12.cnf,5,DP8Adaptive,0.872071,0.43604,2.72718,3.20593,1.42053
bench/test/uf5-11.cnf,5,DP8,3.12783,0.794779,1.38822,2.99506,1.69057
bench/test/uf5-15.cnf,5,Leapfrog,4.20737,0.974021,2.36064,0.311681,1.9938
bench/test/uf5-01.cnf,5,RK4,0.0466106,0.367611,1.13975,2.78811,2.1507
bench/test/uf5-01.cnf,5,DP8,0.0895482,0.616359,3.61176,1.14326,2.21172
bench/test/uf5-01.cnf,5,Leapfrog,0.023904,0.781842,1.88978,1.35894,1.26024
bench/test/uf5-01.cnf,5,DP8Adaptive,1.00078,0.356518,3.26316,1.04504,0.74464
bench/test/uf5-02.cnf,5,RK4,0.0251817,0.690704,1.75427,2.46576,2.34242
bench/test/uf5-02.cnf,5,DP8,0.0661158,0.230707,2.4459,1.35521,2.13698
bench/test/uf5-02.cnf,5,Leapfrog,0.0171523,0.187309,2.49322,2.02673,2.52947
bench/test/uf5-15.cnf,5,RK4,5.92958,1.08952,1.46362,0.345324,2.21696
bench/test/uf5-02.cnf,5,DP8Adaptive,0.855342,0.37911,3.05824,1.69121,2.32038
bench/test/uf3-15.cnf,3,DP8Adaptive,12.1949,0.671444,2.10074,3.1214,1.85286
bench/test/uf3-07.cnf,3,DP8Adaptive,12.026,0.56298,0.449107,3.40651,0.746186
bench/test/uf5-18.cnf,5,RK4,2.8614,1.2,2.66824,3.16011,0.67508
bench/test/uf3-14.cnf,3,DP8Adaptive,12.7434,0.565633,1.22057,0.924986,1.13233
bench/test/uf3-18.cnf,3,DP8Adaptive,12.0507,0.33151,2.6437,1.39999,1.40543
bench/test/uf5-18.cnf,5,Leapfrog,1.19102,0.0754023,1.16444,2.85447,0.445525
bench/test/uf3-01.cnf,3,DP8Adaptive,11.7877,0.8107,2.56463,0.962685,2.18131
bench/test/uf5-13.cnf,5,Leapfrog,3.09378,0.542684,0.503839,0.593336,2.53278
bench/test/uf5-13.cnf,5,RK4,5.64732,1.09497,0.1,0.772149,0.875774
bench/test/uf5-18.cnf,5,DP8,11.7878,1.13523,2.6674,0.315405,2.99299
bench/test/uf5-08.cnf,5,RK4,8.9405,0.338564,0.794841,2.30501,1.77093
bench/test/uf5-08.cnf,5,Leapfrog,4.50415,0.324429,2.14363,1.38511,1.84402
bench/test/uf5-03.cnf,5,RK4,2.68132,1.19684,2.26053,2.07724,1.06308
bench/test/uf5-14.cnf,5,Leapfrog,4.67645,0.60831,2.89839,3.66901,2.1802
bench/test/uf5-19.cnf,5,RK4,0.337378,1.16481,2.18105,1.57726,0.767129
bench/test/uf5-03.cnf,5,Leapfrog,1.61739,0.895747,2.16737,2.19464,0.760412
bench/test/uf5-19.cnf,5,Leapfrog,0.244919,0.323354,1.72061,1.22061,0.714764
bench/test/uf5-13.cnf,5,DP8,16.6843,0.665401,3.62106,0.349437,0.896461
bench/test/uf5-03.cnf,5,DP8,6.45561,1.06135,2.74059,1.91901,0.57522
bench/test/uf5-14.cnf,5,RK4,8.30294,0.756803,1.99813,3.70516,0.918633
bench/test/uf5-16.cnf,5,RK4,1.18561,0.951045,2.37716,0.52371,1.85121
bench/test/uf5-16.cnf,5,Leapfrog,0.451887,0.855651,0.640916,0.546739,1.74712
bench/test/uf5-19.cnf,5,DP8,3.45562,0.788581,1.6873,1.57199,0.543029
bench/test/uf5-16.cnf,5,DP8,2.81801,0.706487,1.44372,0.907225,1.88044
bench/test/uf7-17.cnf,7,RK4,0.639726,0.928569,2.51538,2.94803,1.88778
bench/test/uf7-08.cnf,7,Leapfrog,2.25684,1.1035,1.40389,1.50694,1.68068
bench/test/uf7-08.cnf,7,RK4,4.04494,0.179231,0.346926,1.29902,2.05254
bench/test/uf7-17.cnf,7,Leapfrog,0.38423,0.290608,0.964344,1.6285,0.586259
bench/test/uf7-03.cnf,7,RK4,1.2017,0.235682,1.66197,3.1166,1.67759
bench/test/uf7-08.cnf,7,DP8,5.33473,0.358618,2.55495,2.09146,2.47748
bench/test/uf7-03.cnf,7,Leapfrog,0.827073,0.806448,0.730832,3.37418,1.31179
bench/test/uf7-17.cnf,7,DP8,4.32127,0.745424,1.83972,2.60939,1.35164
bench/test/uf7-03.cnf,7,DP8,4.09656,0.345324,0.78673,3.62081,1.29143
bench/test/uf7-10.cnf,7,Leapfrog,2.54727,1.03061,1.74232,0.153176,2.23174
bench/test/uf7-10.cnf,7,RK4,5.98614,1.12299,1.72649,0.130371,1.90525
bench/test/uf7-11.cnf,7,Leapfrog,0.43223,0.726257,1.97022,3.55067,1.21215
bench/test/uf7-11.cnf,7,RK4,0.909077,0.947305,2.5652,3.44778,0.952239
bench/test/uf7-14.cnf,7,RK4,1.27542,0.888975,1.38588,3.50448,1.14333
bench/test/uf7-14.cnf,7,Leapfrog,0.712625,0.466469,2.11305,2.98548,1.54102
bench/test/uf7-11.cnf,7,DP8,3.27874,0.954274,0.328991,3.8381,1.01853
bench/test/uf7-14.cnf,7,DP8,6.02981,0.528972,1.59263,3.42011,0.728054
bench/test/uf7-16.cnf,7,Leapfrog,6.65925,1.17841,1.82763,2.01072,2.48448
bench/test/uf7-18.cnf,7,RK4,0.0275719,0.99065,1.85017,1.05705,2.32285
bench/test/uf7-18.cnf,7,DP8,0.14336,0.335461,1.63508,2.44141,2.52183
bench/test/uf7-18.cnf,7,Leapfrog,0.0179878,0.692293,1.36346,1.52647,2.04554
bench/test/uf7-12.cnf,7,Leapfrog,3.00283,0.781141,1.41434,0.697719,1.86097
bench/test/uf7-18.cnf,7,DP8Adaptive,1.54652,0.918277,2.10465,1.79722,2.44528
bench/test/uf7-16.cnf,7,RK4,13.5461,0.867674,2.27373,1.56352,1.55269
bench/test/uf7-12.cnf,7,RK4,9.09577,1.18195,3.08154,0.496128,2.33397
bench/test/uf7-06.cnf,7,Leapfrog,6.24773,0.145093,3.89541,2.51696,1.39554
bench/test/uf7-06.cnf,7,RK4,7.19763,0.23491,0.788107,2.25936,0.949992
bench/test/uf7-07.cnf,7,Leapfrog,1.33916,0.0511728,1.99145,3.29726,0.913709
bench/test/uf7-07.cnf,7,RK4,3.01914,0.20792,2.65652,2.97635,1.72539
bench/test/uf7-02.cnf,7,Leapfrog,6.44282,0.812675,1.53673,0.646257,1.94931
bench/test/uf7-02.cnf,7,RK4,9.9484,0.985274,3.56465,0.218719,1.73484
bench/test/uf7-06.cnf,7,DP8,13.5575,0.0823506,1.44264,2.11757,0.169108
bench/test/uf7-07.cnf,7,DP8,7.72683,0.153771,3.56118,2.4169,1.43902
bench/test/uf7-13.cnf,7,Leapfrog,6.60113,0.52513,3.18915,1.30843,2.36029
bench/test/uf7-13.cnf,7,RK4,13.1432,0.993158,1.28021,1.45997,1.79471
bench/test/uf9-03.cnf,9,RK4,5.7741,0.975009,1.60584,1.29196,1.59996
bench/test/uf9-03.cnf,9,Leapfrog,1.53021,0.801428,2.91362,1.34205,1.26328
bench/test/uf9-08.cnf,9,Leapfrog,10.3469,1.13347,2.93894,1.01044,2.36425
bench/test/uf9-15.cnf,9,Leapfrog,7.1141,0.869693,0.877035,1.74833,1.3349
bench/test/uf9-03.cnf,9,DP8,19.1201,0.910403,0.594084,1.61441,3
bench/test/uf9-16.cnf,9,Leapfrog,10.0988,1.17206,2.89641,0.97299,1.11715
bench/test/uf9-15.cnf,9,RK4,17.6683,1.08805,1.64787,1.82517,0.898744
bench/test/uf9-05.cnf,9,Leapfrog,9.46527,0.919922,0.639851,2.16528,2.89298
bench/test/uf9-09.cnf,9,RK4,0.0618459,1.12202,2.49178,3.66677,2.72026
bench/test/uf9-09.cnf,9,Leapfrog,0.0439753,0.395702,0.685579,2.8792,0.776422
bench/test/uf9-09.cnf,9,DP8,0.12356,0.779715,1.1961,1.4426,2.04172
bench/test/uf9-16.cnf,9,RK4,18.252,1.00577,1.76127,0.267858,0.333234
bench/test/uf9-09.cnf,9,DP8Adaptive,2.33545,0.529313,1.68456,2.72188,1.91899
bench/test/uf9-05.cnf,9,RK4,18.4823,0.824429,1.51129,1.20872,2.68856
bench/test/uf9-00.cnf,9,Leapfrog,9.97805,0.744795,3.19678,2.21859,1.4748
bench/test/uf9-11.cnf,9,Leapfrog,5.13974,0.941524,2.22795,0.323918,1.43088
bench/test/uf9-00.cnf,9,RK4,14.5595,0.355095,3.68189,1.23055,2.6755
bench/test/uf9-18.cnf,9,Leapfrog,11.068,0.683808,2.96386,3.013,2.19669
bench/test/uf9-11.cnf,9,RK4,18.8572,0.826984,1.81412,0.302893,1.16974
bench/test/uf9-13.cnf,9,Leapfrog,6.54336,0.787688,1.00802,2.1507,1.69251
bench/test/uf9-13.cnf,9,RK4,13.5096,0.70695,1.00512,2.01457,2.73338
bench/test/uf9-04.cnf,9,Leapfrog,3.99007,1.19856,2.93074,2.72641,0.266757
bench/test/uf9-04.cnf,9,RK4,8.92838,0.775081,1.90421,1.39412,1.21735
bench/test/uf9-14.cnf,9,Leapfrog,3.50971,1.11647,1.17208,0.54884,1.7664
bench/test/uf9-01.cnf,9,Leapfrog,7.94555,0.734159,2.49617,1.92948,2.70756
bench/test/uf9-01.cnf,9,RK4,10.0626,0.123008,0.657793,3.61634,0.373666
bench/test/uf9-06.cnf,9,RK4,1.75267,0.437609,2.74867,2.72836,1.41994
bench/test/uf9-06.cnf,9,Leapfrog,0.807359,0.364102,2.69826,3.47396,1.14027
bench/test/uf9-14.cnf,9,RK4,8.95199,0.596662,2.2432,0.336589,2.73512
bench/test/uf9-06.cnf,9,DP8,6.14913,0.51123,1.81875,3.26815,1.81681
bench/test/uf9-07.cnf,9,Leapfrog,8.2279,0.715289,1.04322,1.3643,2.06349
bench/test/uf9-07.cnf,9,RK4,17.4747,0.587387,1.80202,1.70524,2.76266
bench/test/uf9-17.cnf,9,Leapfrog,8.86993,0.592104,1.30374,1.35394,2.44492
bench/test/uf9-17.cnf,9,RK4,16.5377,0.36731,2.26785,0.184768,0.966124
bench/test/uf9-19.cnf,9,Leapfrog,11.8455,0.144885,0.825926,2.36986,0.364977
bench/test/uf9-10.cnf,9,Leapfrog,7.11745,0.733047,1.91245,0.971909,1.31617
bench/test/uf9-19.cnf,9,RK4,19.2924,0.84712,3.2313,1.1083,0.467355
bench/test/uf9-10.cnf,9,RK4,19.6204,0.500005,1.49455,1.47715,2.54808
bench/test/uf12-02.cnf,12,Leapfrog,10.7953,0.784802,1.65629,0.502537,0.1
bench/test/uf12-12.cnf,12,Leapfrog,16.7053,1.15975,3.869,2.70311,1.78431
bench/test/uf12-09.cnf,12,Leapfrog,2.66542,0.784376,1.0388,2.2897,1.3158
bench/test/uf12-09.cnf,12,RK4,6.57544,0.955712,0.428993,2.53789,2.14024
bench/test/uf12-15.cnf,12,Leapfrog,2.05106,0.946474,0.1,2.9204,0.666998
bench/test/uf12-15.cnf,12,RK4,5.10185,0.823285,1.57349,2.58459,1.14071
bench/test/uf12-14.cnf,12,Leapfrog,16.8295,0.571065,0.521761,1.13637,2.31271
bench/test/uf12-03.cnf,12,Leapfrog,14.955,1.01885,0.692426,1.04061,2.38281
bench/test/uf12-05.cnf,12,Leapfrog,16.8474,0.856308,3.67747,2.36247,0.745296
bench/test/uf12-16.cnf,12,Leapfrog,13.4229,0.818138,2.9216,1.22372,0.568219
bench/test/uf12-01.cnf,12,Leapfrog,17.5253,0.0884733,0.221077,3.78942,0.403634
bench/test/uf12-08.cnf,12,Leapfrog,13.1166,0.740144,0.848449,0.456102,0.90907
bench/test/uf12-00.cnf,12,Leapfrog,14.5667,0.754538,2.03523,0.119173,2.05249
bench/test/uf12-18.cnf,12,Leapfrog,16.3176,0.585315,3.60042,2.26935,0.84984
bench/test/uf12-07.cnf,12,Leapfrog,16.6699,0.932402,1.2113,2.62245,1.11951
bench/test/uf12-17.cnf,12,Leapfrog,17.9471,0.651145,2.43426,1.71027,1.66794
bench/test/uf12-10.cnf,12,Leapfrog,14.6305,0.797463,2.4207,2.98686,1.18007
bench/test/uf12-04.cnf,12,RK4,0.100141,0.699623,1.63543,1.8392,1.28577
bench/test/uf12-04.cnf,12,DP8,0.235392,0.658547,2.99453,2.86252,1.58119
bench/test/uf12-04.cnf,12,Leapfrog,0.062772,0.822064,2.13695,2.86527,0.689734
bench/test/uf12-11.cnf,12,Leapfrog,13.589,0.844502,1.56729,0.940157,1.37081
bench/test/uf12-04.cnf,12,DP8Adaptive,3.42028,0.681865,2.24463,1.77387,0.718341
bench/test/uf12-19.cnf,12,Leapfrog,15.8918,1.16265,1.43261,1.08436,1.58369
bench/test/uf15-03.cnf,15,RK4,2.38443,0.352396,2.24754,2.73512,1.22641
bench/test/uf15-03.cnf,15,Leapfrog,3.51261,0.387567,1.23202,1.84382,1.84838
bench/test/uf15-03.cnf,15,DP8,9.90422,0.475993,2.15146,1.85802,0.800389
bench/test/uf20-07.cnf,20,Leapfrog,19.6837,0.490871,0.350991,3.08102,0.528785
